"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SOD2",4.42560622028862e-06,0.443762132459602,0.268,0.187,0.14291167606556,"2","SOD2"
"FKBP21",6.21371558945085e-06,0.444469562137507,0.318,0.246,0.200653303814547,"2","FKBP2"
"CCNL2",1.14626808599322e-05,0.402000510084949,0.342,0.258,0.37015289032893,"2","CCNL2"
"PSMB8",1.72546366654784e-05,0.316702438706469,0.296,0.215,0.55718672720163,"2","PSMB8"
"SRRM2",3.44390625763319e-05,0.379019809123544,0.51,0.43,1,"2","SRRM2"
"IFITM1",3.71530830077411e-05,0.358220663339377,0.301,0.225,1,"2","IFITM1"
"ATF3",4.09247256142475e-05,0.560599499425353,0.318,0.253,1,"2","ATF3"
"LAPTM4A",4.78085401153269e-05,0.305155185306716,0.305,0.23,1,"2","LAPTM4A"
"RSRP11",0.000111496106006573,0.278927345163247,0.314,0.242,1,"2","RSRP1"
"AKAP9",0.000191204593814666,0.313768549402453,0.27,0.205,1,"2","AKAP9"
"SLC25A6",0.000200778220431984,0.258546603431162,0.381,0.308,1,"2","SLC25A6"
